YEAR,BAND,N_EVENTS,INTENSITY_SUM_MM_3H,MEAN_INTENSITY_MM_3H,BAND_LABEL,RELATIVE_FREQUENCY,HEMISPHERE
2020,3,527,10256.187041977084,19.46145548762255,20-90.0001,0.29909194097616343,SH
2021,0,125,1825.1573316695917,14.601258653356734,0-10,0.06603275224511358,SH
2021,1,685,11686.881613668515,17.061141041851847,10-15,0.3618594823032224,SH
2021,2,629,12278.065965385937,19.519977687418024,15-20,0.3322768092974115,SH
2021,3,454,9081.47264283276,20.003243706680088,20-90.0001,0.2398309561542525,SH
2022,0,135,2359.8906333195846,17.480671357922848,0-10,0.06192660550458716,SH
2022,1,651,11793.030194269817,18.115253754638736,10-15,0.29862385321100915,SH
2022,2,778,14905.76595465155,19.1590822039223,15-20,0.3568807339449541,SH
2022,3,616,12320.729985364076,20.001185041175447,20-90.0001,0.28256880733944956,SH
2023,0,176,2810.6909258020814,15.969834805693644,0-10,0.1110410094637224,SH
2023,1,368,6642.068399772659,18.049098912425706,10-15,0.23217665615141955,SH
2023,2,578,12344.497104402391,21.357261426301715,15-20,0.3646687697160883,SH
2023,3,463,9517.953098907588,20.557134122910558,20-90.0001,0.2921135646687697,SH
