SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,IS_INTERPOLATED_TIMESTEP,ROW
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.15001,0.4375,0.14583333,False,2370721
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.25,0.4375,0.14583333,False,2370722
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.35,0.4375,0.14583333,False,2370723
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.45,0.375,0.125,False,2370724
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.55,0.375,0.125,False,2370725
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.65001,0.5,0.16666667,False,2370726
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.75,0.375,0.125,False,2370727
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.85,0.5625,0.1875,False,2370728
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.95,0.375,0.125,False,2370729
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.05,0.5,0.16666667,False,2370730
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.15001,0.4375,0.14583333,False,2370731
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.25,0.625,0.20833333,False,2370732
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.35,0.875,0.29166666,False,2370733
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.45,0.6875,0.22916667,False,2370734
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.55,0.875,0.29166666,False,2370735
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.65001,0.8125,0.27083334,False,2370736
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.75,1.125,0.375,False,2370737
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.85,1.5,0.5,False,2370738
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,193.95,1.0625,0.35416666,False,2370739
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.05,0.9375,0.3125,False,2370740
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.15001,0.6875,0.22916667,False,2370741
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.25,0.625,0.20833333,False,2370742
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.35,0.8125,0.27083334,False,2370743
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.45,0.625,0.20833333,False,2370744
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.55,0.4375,0.14583333,False,2370745
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.65001,0.5625,0.1875,False,2370746
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.75,0.5,0.16666667,False,2370747
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.85,0.4375,0.14583333,False,2370748
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,194.95,0.5,0.16666667,False,2370749
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,195.05,0.5,0.16666667,False,2370750
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,195.15001,0.5,0.16666667,False,2370751
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,191.65001,0.5,0.16666667,False,2374316
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,191.75,0.4375,0.14583333,False,2374317
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,191.85,0.5,0.16666667,False,2374318
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,191.95,0.5625,0.1875,False,2374319
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.05,0.625,0.20833333,False,2374320
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.15001,0.4375,0.14583333,False,2374321
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.25,0.5,0.16666667,False,2374322
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.35,0.4375,0.14583333,False,2374323
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.45,0.3125,0.104166664,False,2374324
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.55,0.75,0.25,False,2374325
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.65001,0.5,0.16666667,False,2374326
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.75,0.5,0.16666667,False,2374327
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.85,0.4375,0.14583333,False,2374328
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,192.95,0.5,0.16666667,False,2374329
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.05,1.0625,0.35416666,False,2374330
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.15001,0.9375,0.3125,False,2374331
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.25,1.375,0.45833334,False,2374332
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.35,1.375,0.45833334,False,2374333
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.45,1.4375,0.47916666,False,2374334
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.55,1.9375,0.6458333,False,2374335
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.65001,1.9375,0.6458333,False,2374336
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.75,2.0,0.6666667,False,2374337
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.85,1.875,0.625,False,2374338
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,193.95,1.5,0.5,False,2374339
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.05,1.125,0.375,False,2374340
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.15001,0.75,0.25,False,2374341
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.25,0.6875,0.22916667,False,2374342
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.35,0.6875,0.22916667,False,2374343
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.45,0.75,0.25,False,2374344
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.55,0.5,0.16666667,False,2374345
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.65001,0.5,0.16666667,False,2374346
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.75,0.4375,0.14583333,False,2374347
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.85,0.375,0.125,False,2374348
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,194.95,0.5625,0.1875,False,2374349
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,195.05,0.625,0.20833333,False,2374350
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,195.15001,0.5,0.16666667,False,2374351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.05,195.25,0.3125,0.104166664,False,2374352
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,191.65001,0.5,0.16666667,False,2377916
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,191.75,0.5,0.16666667,False,2377917
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,191.85,0.5,0.16666667,False,2377918
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,191.95,0.5625,0.1875,False,2377919
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.05,0.625,0.20833333,False,2377920
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.15001,0.5,0.16666667,False,2377921
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.25,0.6875,0.22916667,False,2377922
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.35,0.4375,0.14583333,False,2377923
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.45,0.5625,0.1875,False,2377924
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.55,0.5625,0.1875,False,2377925
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.65001,0.5,0.16666667,False,2377926
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.75,0.625,0.20833333,False,2377927
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.85,1.375,0.45833334,False,2377928
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,192.95,0.6875,0.22916667,False,2377929
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,193.05,1.4375,0.47916666,False,2377930
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.95,193.15001,1.5625,0.5208333,False,2377931
